Inversor,Mediana_Eficiencia_PCT
Inv_06,96.68031529805722
Inv_13,96.70303798396552
Inv_03,96.78172188882102
Inv_02,96.97970936146193
Inv_18,97.02666677822961
Inv_16,97.04585076084777
Inv_15,97.08403891801387
Inv_19,97.26655680787677
Inv_20,97.28646050147968
Inv_17,97.35749141898476
Inv_08,97.41698152891156
Inv_09,97.47359754714506
Inv_11,97.48152995989514
Inv_04,97.49512131216684
Inv_14,97.52458129053956
Inv_01,97.52458129053956
Inv_10,97.5435428812575
Inv_23,97.60279281745966
Inv_12,97.66061973256282
Inv_07,97.6718779173541
Inv_24,97.70288728799261
Inv_21,97.74417244043111
Inv_22,98.15208233831689
